Pessoa;Fala;Marco temporal
Entrevistado;Bom, o benefício mais óbvio é que eu não tenho que enfrentar um trânsito cada vez mais caótico. São 2 horas e meia que eu ganho do meu dia. Se eu estivesse no escritório agora, eu estaria parado no trânsito, chegando emc asa talvez agora. Então essas 2 horas que eu ganho representa uma qualidade de vida adicional para mim.... Agora, por outro lado, eu gosto de estar no escritório porque eu vejo pessoas, eu saio de casa, eu vejo um público, vejo a vida real que acontece lá fora.. Poder ir na copa, tomar um café, conversar sobre vários assuntos, isso é uma coisa que eu sinto falta. Apesar de que eu fico quase o dia todo em reuniões, né? A partir das 9 da manhã comeá a reunião diária e depois a gente engata em um outra reunião e eu fico com os colegas, cada um na sua casa, a gente ficar conversando, o sentimento é parecido... É como se eu estivesse numa sala de trabalho, a gente fala sobre várias coisas, não apenas só sobre trabalho. Eu acho legal, a gente comenta sobre a rodada de campeonato de futebol, fala sobre política, fala sobre o que tá tendo de eventos.. Assim, é uma convivência. uma outra realidade, né, que eu acho que isso veio para ficar;
Pesquisador;Na empresa atual ou em empresas anteriores, tu consegues identificar alguns desafios que já tenha enfrentado por ser uma pessoa neurodivergente na função que tu atuas?;
Entrevistado;Sm, inclusive não pelo TEA, mas o TDAH está me atrapalhando bastante. O fato de eu estar em casa, eu estou sujeito a algumas distrações, principalmente.. Bom, não tenho filhos aqui comigo, tenho animais de estimação, tenho cachorro, gato, é um elementos de distração que acabam me atrapalhando. Se eu estou participando de uma reunião em que eu interajo interajo pouco, é mais fácil eu perder, eu desfocar e depois eu retornar a atenção é extremamente difícil,às vezes eu recebo a mensagem no whatsapp e olho e isso já é o suficiente para eu não conseguir acompanhar. Outro ponto que também relacionado ao TDAH que me atrapalha é quando eu já estou conversando com 1 cliente da empresa... Sempre os detalhes que eu preciso me atentar, eu não me atento, eu acabo me prendendo a outros detalhes que não são relevantes para o processo, para a conversa. É aí eu já dependo da ajuda dos colegas para eles captarem. Ou seja, eu acabo prendendo a atenção naquilo que não era para eu prender. Isso pode ser reflexo de qur fiquei 4 anos desempregado, trabalhando por conta própria. Esse ritmo de estar em uma empresa grande.... estou 4 meses nessa empresa.  Eu acho que estou pegando o ritmo ainda desse novo trabalho;
Pesquisador;Tem algum ponto que tu identifica como alguma dificuldade que a empresa poderia te ajudar ou melhorar de alguma forma? ;
Entrevistado;Eu sei que há alguns programas internos de apoio à comunidade neurodivergente. Eles tem comunidade dentro da empresa que oferecem palestras, oferecem eventos para apoiar.... Eu ainda não participei desses eventos porque, primeiro, o volume de trabalho está sendo muito grande. Por eu ter essas dificuldades de atenção, eu passo muito tempo revisando todo o material que é passado. Eu acho que eu gasto 3 vezes mais tempo que os meus colegas para entender a mesma coisa, né? Então é, é mais por isso que eu não não estou ainda me interagindo mais com esses grupos de apoio. Agora, se a empresa, assim como eu falei, eu sou reativo, eu não vou tomar a iniciativa de procurar apoio.... Se a minha chefia perceber isso, né? Não é uma coisa que eu gosto de mostrar, né? Eu tento agir como se tivesse, é como se eu fosse 1 funcionário sem ter, digamos, um funcionário neurotípico. Só mesmo em situações em que não tem como, que fica além da minha capacidade.... Eu não sei se vou chegar a ter algum cargo de de chefia, de liderança, em que eu precise ter habilidade de comunicação, porque realmente isso é um desafio pra mim. Enfim, eu falei tanto, não sei se eu respondi a pergunta...;
Pesquisador;Respondeu perfeitamente, era isso mesmo. Então, vamos dar prosseguimento... Que tipo de ferramentas vocês utilizam para fazer a comunicação, tanto entre colegas do time ou quanto  entre cliente? ;
Entrevistado;Bom, dentro da empresa basicamente é só o teams. Falaram.... Eu já estou na minha terceira equipe, né? Fui aprovado e fui associado a uma equipe, depois me trocaram de equipe e mais recentemente, agora eu troquei outra equipe. Na minha segunda equipe, que foi quando eu comecei realmente a fazer o trabalho mais, digamos, valendo, mais pesado, eles foram bem categóricos dizendo que o nosso canal de comunicação é apenas o Temas, a gente não se comunica via WhatsApp, nem outros meios e  Teams é apenas para o trabalho, né? Se vocês quiserem entre vocês, formar grupos de WhatsApp e discutir outras coisas.  Você fica com uma vontade. Isso foi a chefia falando pra gente;
Pesquisador;E pra outros tipos de ferramentas que vocês possam utilizar para gerenciamento de time de tarefas no time e também para fazer o compartilhamento de arquivos ou códigos, quais vocês utilizam?;
Entrevistado;É uma ferramenta da IBM bem difícil de usar. Eu conheço ela como ALM, Application lifecycle management que a  gente registra todas as nossas tarefas, os itens do Backlog a parte do gerenciamento de vida das aplicações. Eu trabalho numa divisão de desenvolvimento, então o nosso trabalho é basicamente produzir software, então, todo o círculo de produção, a gente registra lá. Além disso, para desenvolver. Cada funcionário fica à vontade para escolher a ferramenta que vai usar. Eu gosto muito de usar o VS Code, porque ele serve pra um monte de coisa. Eu trabalho com pelo menos 5 linguagens de programação e eu consigo fazer tudo isso dentro do Vs Code. A gente usa o Gitlab interno pra controle de versão, de código. A empresa tem uma espécie de nuvem privada, né? Semelhante a Google cloud. Onde a gente coloca pública todas as versões de funcionamento do software, né?... Nòa sei se eu mencionei o SharePoint..;
Pesquisador;E dentro dessas tecnologias, como tu avalias a tua experiência,  já teve algum tipo de dificuldade na utilização delas?;
Entrevistado;Dificuldade que eu tenho técnicas sobrea área de tecnologia ser muito dinâmica. Tem coisas novas surgindo a cada mês. Então aprender tanto coisa nova que surge é um desafio. Mas acho, que não sei. Eu percebo que os meus colegas, que são mais experientes, eles têm mais desenvoltura para fazer as tarefas que a gente faz em grupo. Eu fico mais tentando acompanhar o que que estão fazendo do que efetivamente produzir código. Então, talvez  pelo tempo que eu fiquei fora do mercado, né? Agora eu estou pegando o ritmo de novo. Não sei. De repente a minha cabeça já está cansada de aprender tanta coisa nova e eu precido encontrar uma outra forma...;
Pesquisador;Mas eu queria trazer de  volta para discussão, um trecho que falastes que me chamou a atenção, tu comentou que o ALM é algo difícil de utilizar.... ;
Entrevistado;"É porque a as ferramentas, em em geral, as ferramentas da IBM, elas não têm muita preocupação com a usabilidade, eles têm um layout bem assim, básico. É básico para que você consiga usar, não é muito intuitivo, chega a ser até burocrático. Por exemplo, eu tenho que cadastrar uma tarefa e deixar primeiro com o status de aberto, né? Depois mesmo que se já tiver concluído, eu tenho que seguir o passo a passo,  abrir  a tarefa, tenho que colocar em em andamento depois, concluído, né? Não posso simplesmente colocar em concluído, tem que repetir 3 vezes a mesma coisa. Eu digo que é é complicado porque são muitos detalhes que a nossa chefia não tem tempo de explicar pra gente e a gente não encontrou um curso, não foi ofertado ainda um curso explicando detalhadamente como usar. É pelo volume de trabalho que a gente tem, mesmo se tiver 1 curso específico sobre como usar, é difícil a gente encontrar tempo para conseguir aprender ou dedicar a um curso... O bom é que no time, tem pessoas que ajudam, pessoal mais experiente que vai passando informação pra gente de grão em grão e a gente aprende aos poucos, eu acho que assim que vai... Como é que eu prefiro aprender, fazer um curso desde o zero até o mais avançado, mas eu sei que na prática eu não vou ter esse tempo todo livre. Então acabo recorrendo a ajuda dos colegas, ""como eu faço?¨. Eu tenho tido sorte porque tenho colegas que estão dispostos a me ajudar com isso. Então eu não posso deixar de mencionar que os meus colegas têm em ajudado bastante..... Eu acho que é assim são dificuldades comuns que todo profissional de tecnologia passa ";
Pesquisador;Tu comentou sobre apoio do teu time, mas gostaria de saber se tu conhece ou participa de alguma comunidade voltada especificamente para apoiar pessoas neurodivergentes? ;
Entrevistado;Atualmente, não, nem dentro da empresa, nem nem fora. Eu fui incluído num grupo de autista, mas por algumas divergências ideológicas, eu acabei saindo do grupo;
Pesquisador;Certo, vamos para a última etapa da entrevista....  Que características tu enxerga assim identificas como ponto positivo para a tua atuação, enquanto pessoa neurodivergente?;
Entrevistado;Sim,o fato de eu ser bastante pragmático, metódico, atento a reconher padrões me traz alguma organização na minhas tarefas. Aliás, para ser um profissional da tecnologia em que pensar de forma bem sistemática, metódica. Eu vejo que isso é uma vantagem pra pra mim. Acho que a desvantagem mais da questão de habilidades interpessoais, comunicação, a falta de atenção no TDAH.... Quando já extrapola da tela do computador...  Quando estou trabalhando, só nas minhas tarefas, eu tenho um nível de produtividade. Se eu preciso trabalhar com equipes, com conversando com cliente, conversando com os colegas, a produtividade cai um pouquinho, porque eu preciso desenvolver essas skills nessas habilidades interpessoais. ;
Pesquisador;Perfeito, entendi.... Bom, efetivamento chegamos ao fim da entrevista, queria te agradecer pelo tempo e disponibilidade;
;;
;;
;;
;;
;;
;;
;;
;;
