Pessoa;Fala ;
Pesquisador;E sobre o teu ambiente de trabalho, qual é o modelo que vocês utilizam?;
Entrevistado;É 100% remoto;
Pesquisador;E com qual modelo de trabalho tu tens mais preferência? Quais são os motivos que te levam a ter essa preferência?;
Entrevistado;Olha, eu já trabalhei um bom tempo na *ocultado*, eu trabalhei durante 5 anos, intercalou um pouco como entre bolsista depois contratada CLT pela *ocultado* . Trabalhava no curso a distância, eu que gerenciava a plataforma Moodle e também outras coisas de suporte e tudo mais. Depois de lá eu fui pro *ocultado*, fiquei por lá um pouco mais de 2 anos, eu falo 2 anos, mas na verdade fiquei 1 anos e 1 mês e entrei de licença médica porque peguei burnout, foi horrível. Na época, a psicóloga que eu estou hoje, era a que eu estava sendo acompanhada. Eu não estava bem, estava muito mal,  acabei indo para a emergência na época porque eu realmentei pirei, eu quase não me lembro muito, quem lembra mais é a minha mãe, a minha esposa, né? E foi, foi bem complicado, bem delicado assim na época. E aí fui encaminhada para INSS. Meu médico tinha solicitado 60 dias, eu havia pedido demissão, só que a minha coordenadora lá da época ficou sabendo porque a minha esposa ligou avisando que no final de semana tinha ido para a emergência, que eu não estava bem, que eu tive um pico de estresse muito alto. E então, quando ela soube disso, ela conversou comigo e disse, eu não vou aceitar a sua demissão, eu vou aceitar o pedido do seu médico de te afastar por 60 dias, como é mais de 15 dias, você vai precisar ir pro INSS, então vamos aguardar esse tempo, você tira essa licença quando você voltar, se você quiser continuar a sua decisão da demissão, ok a gente aceita, mas no atual estado de você, eu não aceito demissão nenhuma. Aí, ok, eu achei legal, bacana o que ela falou, mas teve a questão do medo, né? Porque não deixou de ser uma doença de trabalho, então tinha algumas questões jurídicas, né, porque se eu fosse querer levar pra frente poderia pegar mal para a empresa. Então o que foi que eu fiz, eu fui para o INSS e para minha surpresa, o INSS simplesmente me afastou por 11 meses e meu médico tinha pedido 2 meses. Olha pra tu ver o meu nível de estresse, eu queria voltar para o INSS para contestar os 11 meses porque eu não queria os 11 meses, eu queria os 2 meses.... E aí veio a minha psicóloga me convencendo a aceitar, ai veio a história de que o INSS é dificíl de fazer isso, o INSS de teu 11 meses e tu vais largar isso? Tira esse tempo para estudar, para se aperfeiçoar porque lá na antiga empresa, eu tinha meio que um desvio de função porque eu era suporte técnico na carteira, mas eu fazia tudo, eu fazia a parte de desenvolvimento, fazia a parte de administração do moodle, fazia a parte de devops, fazia a parte de realidade aumentada e o meu salário não chegava a 2 mil reais. E era só isso, tá? Não tinha vale alimentação, não tinha vale transporte, nada..... Porque rola muito isso lá, primeiro que eu entrei lá porque eu era apaixonada pela plataforma moodle, então para mim era lindo. Depois o sonho de ter mestrado e ter doutorado, porque eu gosto de dar aula, eu gosto de poder repassar meu conhecimento e acho isso muito legal. E ao encontrar e ao conhecer as comunidades de tecnologia, eu percebi que não precisava mais, não precisa mais me fazer passar por isso. Não preciso mais me submeter a isso.... Eu sei que não é assim em todos os lugares, mas tem muita gente que adoece na univerdade... Eu nem cheguei a pegar o mestrado;
Pesquisador;Nossa, eu sinto muito por isso;
Entrevistado;Infelizmente, é algo bem comum;
Pesquisador;Infelizmente, mas vamos lutar para mudar esse cenário. Então, voltando para a pergunta, tu já trabalhou no presencial e no remoto?;
Entrevistado;Isso;
Pesquisador; E no híbrido também?;
Entrevistado;Não, só nesses dois;
Pesquisador;Então tens mais preferência por qual?;
Entrevistado;"100% remoto. Porque, o que acontece? Eu percebi que eu tinha muito,.. Agora eu tenho diagnóstico né? Mas eu percebi, assim, muitos problemas que eu tinha no presencial na questão do horário. Eu tenho um problema, assim, de questão de horário, então ter que pegar ônibus, né, fica bem mais complicado. No remoto, não, ""ah, eu esqueci, mas não tem problema é só ligar o computador"".  Então eu criei alguns alguns métodos para mim pra não me atrasar tanto, né? Então no presencial tinha muito isso porque eu acabava tendo que contar com o transporte. Outra coisa que eu percebo também é a exaustão, né, ela é muito maior quando eu vou pro presencial, então lidar presencialmente com pessoas o tempo todo também me deixa, assim, bem mais complicado. E também dependendo de como a pessoa está, tipo, em um dia ruim e tal, sso acabava me afetando no presencial. No remoto, eu não percebo, eu não percebo se a pesssoa está ruim ou não e ok, eu fico mais de boa";
Pesquisador;E quais tipos de desafios tu consegues identificar já ter vivenciado no ambiente de trabalho? Eu sei que tu estivesse diagnóstico recente, mas consegues identificar algo que dificultava a tua atuação?;
Entrevistado;Sim, uma coisa que ficava para mim, assim..... Eu não podia dormir, né? Eu tinha uma tarefa para fazer, eu tinha que fazer aquela tarefa até terminar  porque se eu dormisse e passasse para outro dia para lembrar o que eu estava fazendo, é como se o meu cérebro apagasse aquilo que eu estava fazendo. Então até eu voltar a pegar o ritmo, entendeu? Então que eu acabava fazendo, eu acabava tentando assim, trabalhando em dobro, né, sei lá como eu fazia isso..  Porque hoje eu não programo, né? Mas antes, quando eu programava, quando eu trabalhava mesmo com programação, eu percebia esse problema, né? E assim, o que tem me ajudado bastante são os meus amigos, né? Então, por exemplo, a maioria deles também tem TDAH e eles também chegaram comigo e tal. E acabou que a maioria deles também foram diagosticados e tudo recente, tá? Sofrendo isso juntos a um pouco mais de 2 anos. Mas a gente se ajudou dessa forma, entendeu? De pegar e dizer olha tem que anotar, usar anotações,  tem que usar o método pomodoro, né, dá uma parada de 10, 5, 15 minutos, te percebe pra ver qual é o teu tempo de parada e de concentração. Por exemplo, o meu amigo falou que, para ele, 1 hora e 20 é o tempo máximo que ele pode. Não pode ser nem menos que isso e nem mais. Aí já comigo eu percebi que tem que ser 40 minutos, eu não consigo ultrapassar os 40 minutos. Eu fico os 40 minutos, paro uns 10 minutos e depois eu volto. Então, quando eu programava eu usava muito esse método e nem sempre eu usei, mas quando eu usava porque eu esquecia de usar, mas quando eu usava dava tudo certo;
Pesquisador;E como é a tua relação no teu ambiente de trabalho atual? Faria alguma mudança para melhorar a tua perfomance nas tuas atividades?;
Entrevistado;Atualmente onde eu tô, eu me sinto muito a vontade lá. Então, atualmente, na empresa eu me sinto a vontade para falar eu tenho TDAH, eu estou com isso, estou com aquilo e tenho essa facilidade. Em outra empresa que eu trabalhei, por exemplo, que era remota também, eu não conseguiria ter isso, foi bem difícil. Era uma empresa muito bagunçada, entendeu? Eu era como desenvolvedora júnior, não tinha ninguém para me acompanhar assim no dia a dia. Jogavam tarefas assim que eu tipo, me contrataram para trabalhar com Javascript e me jogaram para trabalhar com Salesforce, foi horrível. Eu ficava lá trabalhando chorando, te juro, codando e chorando de tão.....  É porque o Salesforce, ele usa uma linguagem que é chamada de apex, né? Que é uma linguagem proprietária deles, que é uma mistura de Java legado com C#. Eu não sabia nada de Java e nada de C#. Eu não sabia nada de nada.  Aí ter que estudar isso, tem que estudar orientação a objetivo e fazer coisas já em produção, entendeu? Mexer em coisas que já estava lá no cliente aí, tipo, achei muito irresponsabilidade da empres porque foi quando eu também tive uns tipos de ansiedade assim bem grande. Hoje, na empresa atual, eu não sinto muito isso porque foi eles são bem humanos em relação a isso. Eu entrei primeiro como desenvolvedora júnior e foi super fantástico. E olha que se tu vê sistema assim, tu se  assusta, porque é uma coisa assim, imensa.  E eu trabalhei na sustentação, que era trabalhar com bugs em produção, então, micro serviço, micro front-end, backend com front end e tudo isso e fui aprendendo. E uma coisa que eu achei  que era bem fantástico, é que eles diziam calma, você vai ter tempo para aprender, você não precisa saber tudo. Eles têm uma metodologia que eles chamam de shadow, então você meio que vai ser a sombra de alguém e vai aprender junto com essa pessoa, alguém mais experiente fica te acompanhando. E aí faz pair programming, fica junto. Já aconteceu do meu gestor na época entrar junto comigo em call pra pra me ajudar a subir ambiente,  configurar todo o meu ambiente, tudo bacana e isso para mim foi bem legal. E assim, cresci e subi pra pleno bem rápido, em 10 meses eu subi pra pleno.  foi bem legal. E aí quando abriu a vaga para coordenador de projeto, eu decidi que , por que que eu interrompia é, é a parte aí da programação, porque eu gosto dessa parte de lidar com pessoas, né? Então, dentro da empresa eu acabo fazendo o que eu faço na comunidade, incentivo as pessoas, a estrutura que eu estou viés a estrutura de conhecimento. Então, numa posição de liderança eu reforço essas coisas que eu tive... Então como agora estou na área de gestão eu reforço o que eu aprendi com os meus gestores ;
Pesquisador;Então, só para condensar as informações, o que tu vê na de positivo na empresa que tu estás atualmente é justamente esse olhar mais humano e a organização que ele tem no desenvolvimento do plano de carreira de cada uma das pessoas;
Entrevistado;Sim, é isso mesmo.... Fora também que o pessoal do RH, eles fazem periodicamente, acho que uma ou 2 vezes por mês palestras sobre vieses inconscientes, falando sobre neurodivergência, falando sobre a comunidade LGBT, falando sobre a importância de pessoas negras, pardas e tudo mais. Então isso acaba sendo um ambiente acolhedor, eu sinto que o ambiente me acolhe. Então, eu me sinto bem aqui. O salário não é dos melhoras, mas o salário emocional é muito bom. Eu acho que só tô por isso por conta disso;
Pesquisador;Agora com relação às tecnologias, quais tecnologias vocês utilizam por exemplo, para realizar a comunicação interna, tanto com as pessoas que tu estás coordenando ou com possíveis clientes? ;
Entrevistado;A gente utiliza muito o Teams para a comunicação síncrona, né, então a gente usa bastante o Teams tanto para fazer reuniões quanto para para usar o chat. Isso tanto pra cá, internamente, quanto para clientes também. A gente utiliza bastante email também. E para os trabalhos em equipe, entre os devs tem o Jira, Confluence. O Confluence a gente usa muito para documentações. A gente usa o Git Bucket, né, internamente, mas quando é em cliente, por exemplo, na **** a gente usa o Git lab, então a gente usa dependendo do cliente, dependendo da plataforma de versionamento em que eles usam. E o Jira, né? Eu já falei? E o Sharepoint ou o Google Drive para troca de arquivos;
Pesquisador;E na utilização dessas ferramentas, tu já sentiu algum tipo de dificuldade durante a interação com elas?;
Entrevistado;Olha, nunca pensei. Nunca pensei nisso, não... Não prestei atenção.... Acho que depois que tu falou eu vou prestar mais atenção;
Pesquisador;Tudo bem... Se ao longo da entrevista tu lembrar de algum aspecto, tu pode comentar a vontade;
Entrevistado;Ahh, tem sim, uma coisa do Teams.... Tem uma coisa do Teams que, quando acontece ele...  Agora eu lembro. Quando a gente inicia uma reunião, o Teams, ele já vai pré configurado, assim ele o... Como é? Pra Transcrever... E Isso me atrapalha muito. Eu não sei se tu já viu isso no Teams...;
Pesquisador;Ele abre o que? Como assim?;
Entrevistado;Assim, ele começa a transcrever o que eu estou falando, que é para as pessoas poderem estar ali.... Só que isso me atrapalha. Quando eu coloco lá, começo a reunião e eu coloco para gravar, ele começa transcrever e eu fico, meu Deus. Aí às vezes dá uma demora, entendeu? E acaba sempre quando o tema gravação eu tenho que cortar o início da gravação porque aparece eu meio que perdida, porque abriu lá o negócio transcrevendo e eu tendo que pensar rápido onde é que fecha aquilo. Porque se ficar lá, eu não consigo, vai me atrapalhar. Então isso é uma coisa que realmente me atrapalha;
Pesquisador;E é sempre no início que aparece?;
Entrevistado;É, sempre no início... Aí tenho que lembrar de fechar;
Pesquisador;Ainda sobre as tecnologias, tu comentastes que utilizam o Jira para a organização das tarefas, o Confluence para as documentações... E para a codificação? Vocês utilizam o VS Code...;
Entrevistado;"Sim, utilizamos sim. Quando eu codava eu uso assim, bem... É porque eu evito de pegar no código porque o meu ex gestor, ele também era dev e uma coisa que ele falou foi ""faz de tudo pra não abrir código porque eu sei, eu vim do meio dev, a gente abre o Vs Code e fica com aquela ânsia, mas não é a gente para mexer, a gente tem que colocar os devs para mexer"".... Então sim, nós utilizávamos o Vs Code porque utilizávamos o Vue JS e Next.JS e às vezes quando tinha um bug específico era na Oracle e aí era o desespero porque era o Java Legado e aí tive que usar o Eclipe, só que era um eclipse específico, o eclipse antigo. Então para mim foi muito difícil ter que trocar do Vs Code para o Eclipse.  Primeiro porque eu me acostumei com o Dark Mode, então para mim o Dark Mode é bem melhor e nesse Eclipse não tem, ele é aquela coisa branca, sabe? E aí para mim era sofrido ter que mexer naquilo";
Pesquisador;Mais alguma coisa de dificuldade?;
Entrevistado;Acho que só mais essas coisas de reuniões, quando a reunião demora muito, tipo em torno de 1 hora, eu começo a ficar muito exausta, né? Então eu, às vezes tenho que parar, tirar um pouco o fone de ouvido, beber uma água ou então até tiro o fone de ouvido e deixo no alto falante. Porque se eu ficar direto no fone de ouvido, né, mais de 1 hora, acaba, enfim, acaba o meu dia. Eu fico assim, com uma exaustão que eu não consigo nem explicar. Parece que eu corri uma maratona, sabe? Aí então isso aí é uma grande dificuldade, reuniões muito longas, né? Olha ontem por exemplo, foi uma tarde toda de evento online. Ai eu tirei o fone e deixei no alto falante e fiquei fazendo as coisas e ouvindo, assim, mas sem fone de ouvido porque senão eu não iria conseguir acompanhar;
Pesquisador;Queria saber se tu já chegou a conhecer algum grupo ou comunidade voltada para a inclusão de pessoas neurodivergentes?;
Entrevistado;Específico, não, eu nunca cheguei a encontrar.;
Pesquisador;Agora, indo para o último bloco de perguntar, o que tu enxergas como características positivas, decorrentes do teu diagnóstico que fazem diferença dentro da tua atuação? ;
Entrevistado;Sim, eu tenho um foco bacana. Como, por exemplo, tem ums coisas que eu não gosto de fazer que é, tipo, criar algumas documentações. Porque tem, como eu saí desse meio dev e tô na coordenação. Então eu tenho que lidar com alguns documentos que eu preciso fazer. Só que o que acontece, a minha vontade de ajudar pessoas, porque cada documento que eu faço..... Eu me pego nisso, se eu me dedicar, se eu me esforçar pra sentar aqui, parar pra estudar, pra analisar e escrever vai vai ser ótimo, porque e foi o que aconteceu, né?  Agora, essa semana, eu apresentei um novo time, dos 8 devs 6 nunca tiveram nenhuma experiência. Então é a primeira experiência deles e eles já vão pegar para fazer um produto bem do zero mesmo e a gente está se organizando para pedir acesso e tudo mais... Então, por mais que seja uma coisa, massante de fazer, mas eu me apego nisso, entendeu? De eu vou fazer esse esforço porque eu sei que vou ajudar essas pessoas a ir, né? Que eu nem sei quem são, mas vou ajudar. E aí eu percebo que quando eu trabalho assim, eu tenho um foco incrível, sabe? Um foco que realmente é, às vezes, tipo, ah, eu vou deixar para fazer, deixo para fazer o último dia. Mas quando eu decido fazer, vai, entendeu? Nunca aconteceu de eu não consegui fazer. E aí isso é uma coisa que eu estou trabalhando terapia, né? Que é para não deixar mais as coisas para para a última hora, porque fica desgastante para mim.  E nunca aconteceu de um dia eu não conseguir entregar. Então eu estou trabalhando a terapia para não..... Mas o que eu percebo muito é isso. Quando eu decido, eu foco. Eu consigo focar de uma tal forma que  as coisas funcionam. Eu até me surpreendo. ;
Pesquisador;Só para confirmar aqui, quando tu consegues enxergar um valor, um propósito tu consegues focar com mais facilidade?;
Entrevistado;Sim;
Pesquisador;E em contraste a isso, que características tu enxergas como ponto fraco? Que podem te atrapalhar na tua função?;
Entrevistado;Sim, essa questão aí do esquecimento. Eu tenho que sempre lembrar de anotar as coisas.... Ah,  eu tenho uma coisa que eu esqueci, eu uso Canva Knives também. Então o *ferramenta interna* tem me ajudado bastante para, o *ferramenta interna* parece um trellozinho, só que, como ele é uma ferramenta interna, ele tem mais configurações, então eu acabo usando ele e tem me ajudado bastante. Além disso, eu também escrevo em um papelzinho na mesa que fica a vista. Já tentei usar post-it, mas não funciona, então eu coloco um papel na mesa mesmo. Já tem me ajudado. Então eu fico fazendo essas estratégias, coloco o meu celular para despertar, algumas coisas assim.... E tenho esse problema aí com o esquecimento mesmo;
Pesquisador;Então seria o esquecimento e o...;
Entrevistado;E deixar tudo para em cima da hora. Por mais que eu consiga entregar, mas para mim fica desgastante, fica muito desgastante ;
Pesquisador;Bom, chegamos ao fim da entrevista. Queria te agradecer pelo nosso tempo juntas. Se tiver alguma dúvida, pode me chamar. Fico disponível para isso. ;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
