Pessoa;Fala ;Marco temporal
Entrevistado;Não, não, estão de acordo com o que se propõe, não tenho nada a acrescentar, não. ;00:09:34,309 -->  00:09:41,790
Pesquisador;"Vamos segui então para o próximo bloco de perguntas.... Participas de algum algum grupo, fórum ou  comunidade
voltado para inclusão de pessoas neurodivergentes?";00:09:48,430 --> 00:09:57,711
Entrevistado;Nãa, não, parei com essas drogas ;00:09:58,831 --> 00:10:00,631
Pesquisador;E por qual motivo não participa mais?;00:10:03,831 --> 00:10:06,71
Entrevistado;É um ambiente extremamente tóxico. ;00:10:10,751 --> 00:10:11,311
Pesquisador;Esses grupos eram virtuais ou presenciais?; 00:10:15,512 --> 00:10:17,912
Entrevistado;Tudo, tudo virtual;00:10:19,872 --> 00:10:21,272
Pesquisador;Podes falar mais sobre isso? Me dá alguns exemplos...;00:10:24,632 --> 00:10:30,072
Entrevistado;Ah, assim.... porque parece que a maturidade média lá é pré adolescente e adolescentes, né? Sendo sendo adultos. Então, é.. tem muita picuinha. E pra gente tem muito problema de comunicação, gera muito ruído, acaba tendo guerras infinitas e tudo mais. Então é um ambiente que eu me afastei justamente pra ter paz na minha vida.;00:10:33,032 -->  00:10:55,394
Pesquisador;E tu comentaste que tu entraste em um processo seletivo inclusivo, certo?.... Na tua empresa tem algum algum grupo ou espaço voltado para acolher e incluir pessoas neurodivergentes?;00:11:08,954 --> 00:11:34,636 
Entrevistado;Então, é.. sempre tem a preocupação de inclusão de pessoas com deficiência. E no caso quando tem um evento presencial, tem a área pra descompressão, oferece o abafador tudo mais. Então a empresa fica sempre preocupada com qualquer deficiência... Bem inclusiva mesmo ;00:11:39,476 --> 00:12:05,917
Pesquisador;Ela oferece também treinamento  para os colaboradores nesse sentido da inclusão?;00:12:08,797 --> 00:12:10,517
Entrevistado;Sim, sim ;00:12:13,278 --> 00:12:13,598
Pesquisador;Só pra eu entender..... A empresa em si não tem um canal no Teams ou algo nesse sentido voltado pra inclusão?;00:12:20,718 --> 00:12:36,439
Entrevistado; A gente tem tem guilda no caso de PCD e tudo,  mas sempre tem a preocupação que vem de cima para baixo e de baixo pra cima com a inclusão. ; 00:12:41,599   --> 00:12:49,519
Pesquisador;Agora sim, vamos para o nosso último bloco de perguntas.... Que tipo de características tu enxergas como positivas, de acordo com o teu diagnóstico? ;00:13:14,481 -->  00:13:31,682
Entrevistado;"Eu lido muito bem com a organização de muita informação, né? Tanto que na squad que eu tô,  eu sou responsável pela documentação sobre backend.  Então depois que eu entrei na quad, eu comecei a organizar nossos conteúdos internos de documentação e criei um agente de inteligência artificial para poder... todo mundo ter fácil acesso aos conteúdos..... Então, jogando dados na minha mão, eu tô no paraíso, essa coisa bem de autista. 
"; 00:13:36,202 -->  00:14:14,244
Pesquisador;E em contraste a isso, que característica tu enxergas como dificuldade ou ponto fraco?;00:14:16,324 -->  00:14:28,925
Entrevistado;"A memória auditiva, né? É péssima por conta do TDAH.... Lidar com muita informação verbal. Então acaba atrapalhando e às vezes sobrecarrega, né? Sobrecarrega porque tá em reunião e tudo mais. Aí tem muita gente falando, muita coisa, falando, e aí você acaba sobrecarregado. O que mais?!.... Muita... muita mudança de prioridade nas coisas acaba você sendo obrigado a se adaptar muito rápido a mudanças. Para mim eu estou mais acostumado, né? Para a maneira dos autistas é mais complicado, né? Você tem que estar trabalhando tudo lá. ""Ah, eu estou trabalhando essa semana com já vai semana que vem, tem que ter outra linguagem que você não conhece então atrapalha.... E tem também pra quem é autista problema de se comunicar, né, via voz e vídeo. Eu como sou blogueirinha, não tem esse problema.
 ";00:14:32,965 --> 00:15:53,249 
Pesquisador;Bom, chegamos ao fim então... Tem algum ponto, algum dúvida?  Algo que tu queiras falar?;00:16:01,809 -->   00:16:18,530
Entrevistado;Não, tá tudo tranquilo, tá? Não tem nada, acho que eu já falei, foi só no finalzinho mesmo que eu tá lembrando que eu sou fora da curva, então eu não sou muito referência nessa parte;00:16:19,770 --> 00:16:30,931
Pesquisador;"Fico disponível caso tu queira tirar dúvida ou entrar em contato comigo....Te agradeço pela tua disponibilidade em participar do nosso estudo.
"; 00:16:33,211 -->  00:16:48,612
Entrevistado;Igualmente, precisamos só chamar;00:16:53,652 --> 00:16:55,212
