Pessoa;Fala ;Marco temporal
Entrevistado;Olha, eu fiz muita terapia e eu tento tomar os remédios sempre no horário, no mesmo horário para  dar um up mesmo. Mas é a questão de muita terapia mesmo.;"00:11:28,786 -->  00:11:42,627
"
Pesquisador;E nessa nova empresa já sentiu algum desconforto? Como é estar no ambiente de trabalho atual? Faria alguma mudança nele? ;"00:11:52,787 -->  00:12:07,028
"
Entrevistado;"Desconforto sempre, todos os dias, o tempo inteiro. A gente fica pelo salário. Mas eu trabalho numa empresa hoje, que é uma empresa com pessoas mais velhas geridas por pessoas mais velhas e que trabalham com pessoas mais velhas. Eu trabalho com pessoas que estão lá, 20 anos na empresa, 15 anos, 30 anos na empresa. Então é difícil você ter novas ideias, lançar novas ideias, falar mesmo. Tem lá, tem uma cultura que os não se dirigem ao subalterno de forma direta. Então eu tenho que passar pelo pela secretária do gerente ou por um coordenador, porque eu não consigo ter uma conversa direta com meu gerente. É da cultura da empresa, né? Então tem muito medo de errar?  Eu trabalho pisando em ovos, com medo de errar o tempo inteiro porque eu tenho certeza que se eu errar. E aquela culpa ""ah, culpa da **? A ** que fez isso"". Então lá eu tenho uma restrição que eu não posso dar novas ideias, né? Assim, eu poderia enfrentar, poderia fazer como eu era antes, mas eu vejo que é mais um desgaste, então eu prefiro seguir o fluxo da empresa";"00:12:12,948 --> 00:13:31,511
"
Pesquisador;O que tu achas que poderia ser feito de diferente pra melhorar essa questao da comunicação?;00:13:36,311 -->  00:13:49,432
Entrevistado;O que tinha que ser feito é reformular o o setor de gente e gestão e colocar pessoas mais novas, dispostas a implementar uma cultura realmente mais abrangente na empresa que faça as pessoas se sentirem confortáveis, que tire essa cultura de punição ao erro;00:13:52,952 -->  00:14:15,993
Pesquisador;Prosseguindo aqui no nosso bloco de perguntas, com qual tecnologias vocês trabalham para comunicação interna ou comunicação com clientes?;"00:14:21,473 -->  00:14:38,674
"
Entrevistado;A gente utiliza o slack para fazer comunicação interna, mas cada setor tem o seu slack e a  gente não consegue ter comunicação por exemplo pelo slack e com o setor de tecnologia, não consegue ter contato com o pessoal da engenharia. É uma conta no slack diferente. O pessoal da engenharia não consegue ter contato com o pessoal do RH, por exemplo. São contas diferentes e por isso a gente não consegue ter uma comunicação vertical com a empresa inteira. E  para fazer contato com o cliente a gente tem uma plataforma arcaica que chamada redmine ou então por telefone mesmo. Ou então, se ele quiser agendar uma reunião ou alguma coisa assim, é pelo zoom;00:14:43,834 -->  00:15:38,996
Pesquisador;Em se tratando de tecnologias voltada para o gerenciamento de tarefas e atividades, qual ferramenta vocês utilizam?;00:15:39,716 --> 00:15:50,476
Entrevistado;A gente usa só esse redmine mesmo ;00:15:53,437 --> 00:15:56,917 
Pesquisador;E por último, que ferramentar utilizam para compartilhar arquivos, documentos ou códigos?;00:16:07,757 --> 00:16:16,157
Entrevistado;A gente usa o GitHub para fazer compartilhamento de código. Aqui não tem  é automação de testes. Então os testes são todos manuais, mas a gente tem acesso aos códigos. A gente também usa o Jenkins pra fazer a compilação desse código e para compartilhar arquivo e pra compartilhar arquivo a gente tem uma plataforma interna de compartilhamento de arquivos;00:16:22,598 -->   00:16:52,519
Pesquisador;E como tu avalias tuas experiências nessas ferramentas? Em algum momento já sentiu alguma dificuldade na utilização delas?;00:16:58,559 --> 00:17:11,080
Entrevistado;No início foi desesperador, né, que eu vinha de uma empresa que a gente tinha muita ferramenta, a gente mexia com o Jira, a gente tinha tudo a disponibilidade... A gente tinha licença do google, do gmail, que eu não tenho hoje. A gente mexe com o zimbra aqui dentro e foi muito difícil me acostumar, foi muito difícil porque, por exemplo, as licenças do google te dá uma liberdade gigante de conversar com a pessoa para o próprio Gmail, de poder é compartilhar coisas na nuvem, de poder criar a planilha, de criar qualquer documento. E aqui você não tem, você tem que se virar com o recursos que você tem e foi muito frustrante no início. Eu pensei muito em sair dessa empresa na primeira semana. Para mim assim foi horrível, porque eu não consegui aprender, não tinha documentação nenhuma. Eram muitos produtos.... É produtos com layout muito antigos, é uma empresa que não visa inovação. Eles querem lucrar cortando o máximo de gastos possíveis. Então é tudo muito arcaico e eu tive muita dificuldade para aprender. E o ruim é que eu sempre tenho que estar perguntando para alguém e as pessoas não tinham essa boa vontade de responder. Então eu sofri demais. Até os meus 3 primeiros meses foram assim, extremamente sofridos;"00:17:23,280 --> 00:19:00,204
"
Pesquisador;A empresa não fornecia nenhuma tipo de curso para aprender sobre essas ferramentas?;00:19:16,724 -->  00:19:23,845
Entrevistado;Nada, absolutamente nada;00:19:23,845 -->  00:19:26,765
Pesquisador;Tu participas de algum grupo ou comunidade voltada pra pessoas neurodivergentes nesse contexto de desenvolvimetno de software?;00:19:43,605 -->  00:19:55,486
Entrevistado;Não, eu tive alguns amigos que eu levei da outra empresa, assim que eu contei, eles também se identificaram algo que eu soube também que eles tinham, alguns tratados, outros não. E foi assim que eu fui compartilhando experiências. Eu pensava que eu era muito burra que eu era muito lerda para aprender as coisas, que eu era muito lenta. E aí eu vi que não, que era uma uma experiência compartilhada, né? Uma dificuldade compartilhada;00:19:56,366 -->  00:20:25,527
Pesquisador;Nem nas redes sociais?;00:20:27,207 --> 00:20:29,847
Entrevistado;Não faço parte, sabe, eu evito porque muitas coisas que eu vejo nas redes sociais são bem sensacionalistas, né? E as pessoas acabam pegando aquilo e fazendo um autodiagnóstico. Então eu evito muito;00:20:35,887 -->  00:20:53,128
Pesquisador;E os motivos pelos quais tu não faz parte desses grupos também são os mesmos?; 00:20:55,448 --> 00:21:03,368
Entrevistado;Sim, porque, por exemplo. Tá escrito lá se  você tem muita preguiça durante o dia, você pode ter TDAH, mas tem gente que pode ter, por exemplo, falta de ferro, falta de vitamina D e acaba se dando um diagnóstico por um sintoma que a maioria das pessoas tem e acaba virando.... Eu acho que fica meio banalizado, sabe? E eu evito.;00:21:05,209 --> 00:21:31,730
Pesquisador;No teu trabalho, oferecem algum espaço  para apoiar pessoas neurodivergentes;00:22:19,571 -->   00:22:28,012
Entrevistado;Nada. Eu acho que se eles soubessem que a pessoa era neurodivergente, eles nem contratavam;00:22:30,012 -->  00:22:34,972
Pesquisador;"Agora vamos para a nossa última pergunta, quais pontos fortes, tu consegues identificar enquanto pessoa neurodivergente que tem um um diferencial na tua atuação?

 ";"00:22:42,012 --> 00:22:58,373
"
Entrevistado;"Eu acho que eu aprendi a ser muito resiliente, né? Até comigo mesma, né? Porque eu tinha muitos ímpetos de falar o que eu achava que era certo e eu acaba acabava sendo muito impulsiva. E foi uma das principais coisas que eu quis tratar com a minha psicóloga. E eu acho que hoje em dia eu consigo separar, né? Eu levava isso muito como um problema meu, os problemas da empresa, como os meus problemas. E agora não, ""ah, se não quis fazer então o problema não é meu"". Você não quis escutar, o problema não é meu, o problema é da empresa. Então eu consegui separar isso muito bem depois de muitos anos de terapia.
";00:23:09,173 --> 00:23:53,415
Pesquisador;E em contraste a isso, que pontos interferem na tua atuação?;00:23:54,815 -->  00:24:03,495
Entrevistado;É a dificuldade de aprendizado eu não consigo aprender. Se você me explicar uma vez só, eu tenho, eu tenho que ler, eu tenho que reler, eu tenho que perguntar aquilo 1000000 de vezes. Quando começar a fazer sentido para mim, aí sim eu vou começar a aprender. Mas se você me der uma instrução, você tem que fazer isso. E se isso passando por isso, e se isso? E se isso? Eu vou ficar desesperada;"00:24:09,896 -->  00:24:31,936
"
Pesquisador;Então muitas etapas te deixa mais confusa?;00:24:36,257 --> 00:24:41,297
Entrevistado;Isso;00:24:46,257 --> 00:24:48,977
Pesquisador;Bom, efetivamente chegmaos ao fim da nossa entrevista. Gostaria de agradecer pelo tempo e pela disponibilidade em contribuir com o nosso estudo. Me coloco a disposição para tirar qualquer dúvida, é só me mandar iuma mensagem ou um email, tá bem?;00:24:49,297 --> 00:25:53,897
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
