Pessoa;Fala;Marco Temporal
Entrevistado;Então eu fiz algumas mudanças, né? Antes, em 2020, eu entrei com sócio, sócio fundador de uma startup de consultoria em experiência do usuário. Mas eu estava sempre me dividindo com os empregos. Então, em 2023, quando eu fiquei desempregado, euvoltei a trabalhar integral nessa startup, ganho um rendimento muito pequeno. Só dava mesmo para sobreviver. Isso porque a gente não tem caixa para poder ficar gerando lucro, muito gasto para rodar os processos e embora eu tenha procurado me recolocar no mercado e eu vi  essa dificuldade, eu percebi que eu precisava de algumas adaptações, porque se eu fosse seguir o meu estilo de trabalho, da mesma maneira consegui todos os os anos anteriores, eu tinha um grande risco de voltar a ter problemas com burnout, com essas coisas. E o que que eu decidi? Bom, na minha startup, eu tenho mais flexibilidade e tempo de demanda. Eu consigo adaptar minha rotina, né? Até porque eu estava aprendendo a lidar com toda a questão de regulação emocional, estava fazendo desmame dessas medicações. Então precisava de um ambiente muito mais controlado para que eu pudesse me recuperar. Então eu decidi manter me nessa startup, mesmo ganhando muito menos. E eu retomei o meu mestrado, porque eu tinha interrompido o meu mestrado também em 2022. E aí eu voltei o meu processo de pesquisa do mestrado e como o meu psiquiatra, como ele tem uma veia empreendedora na área de tecnologia muito forte, a gente acabou fechando contrato. No início era uma permuta. Então, como eu tinha se desempregado, eu não estava conseguindo pagar as consultas, eu fazia algumas atividades, voltadas para tecnologia, né,  design de produtos e MVPS para ele, em troca de consultas. E aí ele gostou do teu trabalho e acabou firmando uma parceria remunerada mesmo. Então ele paga um valor por mês em  troca de alguns serviços de consultor de tecnologia. E aí meu foco este ano voltou para concluir o meu mestrado e investir numa carreira pública, né embora a questão financeira, ela está bem assim, desafiadora. Mas, eu percebo que, por essa questão, né, dessa barreira que eu percebo em voltar para o mercado com o diagnóstico de autismo e o risco que eu percebo também de entrar no mercado ocultando meu diagnóstico e depois ter que negociar algumas adaptações do dia a dia de trabalho, percebo que pode ser desafiador para para mim, né, essa questão de até um medo, por exemplo, de ser demitido de novo, como aconteceu no ano passado. Quando eu recebi diagnóstico em julho, que eu estava nessa empresa, eu solicitei algumas adaptações em relação a, por exemplo, a evitar fazer hora extra, né, a questão de eu ter que eu gerenciar, por exemplo, a questão das notificações. Eu precisava as desligar notificações para poder conseguir focar no trabalho, na minha execução do meu trabalho. E eu percebi que essas mudanças de comportamento incomodou algumas pessoas lá dentro, né? Então, eu percebo que eu, eu fiz essa mudança toda uma espécie de limpa na minha carreira. Que eu nem estou nem na  posição que eu estive no passado, mas também não estou usufruindo a posiçã que eu quero estar no futuro. Estou meio nesse espaço aí de transição.;
Pesquisador;E como era o modelo de trabalho na antiga empresa em que tu atuava e também nessa startup?;
Entrevistado;Certo, antes da pandemia eu tive poucas oportunidades de trabalhar remoto. Os meus trabalhos eram presenciais. Ai depois dela, eu tive esse essa posição de liderança em 2022, que foi presencial. Depois 2024 na minha recolocação ao supermercado, na empresa que eu trabalhei de feveiro a junho era presencial e a a última que eu trabalhei, de junho a agosto, foi remoto. Eu trabalhava 100% remoto. A starup que eu atuo também é remoto, mas que diferencia é, por exemplo, eu não tenho uma carga horária para cumprir, então eu tenho flexibilidade. Por exemplo, em dias que eu eu estou em shutdown, eu consigo descolar os compromissos e atividades para o dia seguinte, me permitir recuperar desse shuntdown. Coisas que eu não podia fazer na empresa que eu trabalhava, né? Então quando eu tive aí shutdown, eu tinha que recorrer ao uso de ***** pra me manter funciondando mesmo em shutdown. E fora a questão da pressão por dar mais do tempo e do esforço. Então eu iniciava as jornada às 8 da manhã, porque eu tenho preferência por trabalhar mais cedo e dentro da carga horária, se começar a ser 8h, poderia ser às 17h, mas quando eu saía no horário. E era importante para mim sair no horário porque eu fazia natação, eu fazia exercícios voltados a estimular meu corpo, que era para lidar com a questão das medicações e tudo. Eu percebia um certo um desconforto, até em momentos de feedback com liderança, eu recebi de maneira dissimulada, mas basicamente era uma crítica aos meus horários de saída, porque quando eu saia às 17h, mesmo entrando mais cedo que todo mundo, as pessoas que costumavam entrar as 10h, as pessoas ficavam até 7h da noite, 8h da noite. Então, esse descompasso entre o horário que eu saía e o horário que as pessoas saíam gerava uma espécie de desconforto como se eu não tivesse, é como se tivesse menos comprometido que as outras pessoas. Então essa é uma outra diferença também. Na startup eu trabalho no horário que eu funciono melhor. Então se eu quiser acordar às 5h da manhã e começar o trabalho às 5h da manhã e quando for 2h da tarde, eu suspendo as atividades do dia, eu posso fazer isso. Eu consigo me organizar de acordo com o nível de energia. Algo que eu não consigo fazer ou não conseguir fazer nas empresas anteriores, né? E é importante para mim isso porque, como eu tenho que gerenciar os meus hiperfacos, eu consigo, por exemplo, trabalhar 3, 4 horas seguidas direto num trabalho bem complexo, mas quando acaba eu fico completamente exausto e eu não consigo fazer mais outro qualquer outro tipo de atividade mental. Então lá na empresa que eu trabalhava, eu me sentia pressionado a dar 100% o dia inteiro todos os dias, e isso deixava muito exausto eu não conseguia me recuperar do tempo de descanso tanto que eu precisava tomar medicação pra dormir porque eu não conseguia desacelerar à noite de tão cansado que eu estava, né? E na startup, não. Eu consigo às vezes dedicar dias específicos para tarefas específicas. Então, ó, você tem que fazer uma pesquisa com usuários, ou tem que fazer design de telas, ou preciso fazer tarefa mais voltada para a estratégia. Eu consigo definir de específico da semana para esse tipo de atividade. Então até essa questão mesmo de organização da minha energia mental, ela fica mais mais flexível para o meu, a maneira como eu funciono;
Pesquisador;Para além desses problemas, quais outros desafios que tu tenhas enfrentado nesses outros ambientes que tens atuado?;
Entrevistado;Olhando em retrospecto, eu consigo identificar algumas questões que eu tinha dificuldade, que eu não sabia, mas que hoje eu vejo que são manifestações do próprio autismo, por exemplo, a questão de comunicação. Eu tinha um grande problema, uma grande dificuldade porque quando eu estava concentrado  executando a atividade, eu era interrompido o tempo todo. Nos trabalhos presenciais, a gente eu trabalhava numa estrutura de escritório, de ambiente aberto, então tinha aquelas mesas que as pessoas podem chegar a qualquer momento para pedir alguma coisa, para perguntar alguma coisa. Então, eu tinha muita dificuldade quando eu estava focado e alguém me interrompia. Depois eu voltar pro foco, porque eu ficava com a atenção dividida entre o que a pessoas solicitou e o que eu estava fazendo e tinha dificuldade de conseguir voltar com o mesmo foco que eu tinha antes. Então era muito cansativo para mim ser interrompido o tempo todo. E no ambiente remoto tinha essa questão das notificações a qual costumeiramente eu silenciava notificações para conseguir focar na atividade. E eu era repreendido porque eu demorava para responder as mensagens. Então eu ficava com num estado de ansiedade muito grande quando eu tinha que ficar com as notificações ligadas, porque não conseguia focar 100%, sabendo que a qualquer momento, tudo começava a subir lá, a notificação do grupo. Às vezes eu silenciava as notificações para deixar tudo no visual e conseguir focar no trabalho. E também tive episódios de dificuldade com a própria expressão no meio remoto, porque no presencial eu eu conseguia modular a voz, eu conseguia usar as pausas, o tempo para conseguir transmitir meu comentário, a minha opinião, de maneira que fosse menos agressiva, digamos assim. Mas no remoto, não conseguia fazer, não tinha essa expressão por texto. Então, por vezes em grupos eu tinha muita dificuldade de conseguir expressar minha opinião e ser é e não ser interpretado como uma opinião grosseira. E às vezes até perguntava, tipo, as pessoas colocavam lá, Ah, o que vocês acham dessa dessa tela que eu fiz? E eu colocava o meu comentário. E aí recebia uma repreensão da minha liderança dizendo que a maneira como eu falei foi uma maneira muito invasiva. E eu questionava os meus colegas de trabalho. Às vezes chegava no privado, fazia uma vídeo chamada com eles e perguntava, olha, você, você se incomodou com era o que eu falei? Aí falaram, não, não me encomendei nada. Então eu percebi que no remoto, era difícil conseguir me comunicar porque diferentes pessoas tinham diferentes percepções do texto que eu escrevi. E pra mim era difícil conseguir gerenciar essas diferentes percepções. Acho que eu tinha muito mais trabalhos em termos de energia para gerenciar essa essa questão social, essas percepções social, do que o próprio trabalho técnico. O que me deixava cansado do trabalho, não era o trabalho em si, mas eram as pessoas que estavam ali naquele ambiente. Então, essa era uma umas das dificuldades que eu enfrentava, especialmente no remoto;
Pesquisador;E alido a essas dificuldades, que tipos de mudanças farias dentro desse contexto do remoto ou presencial, para que tu pudesses ter um ambiente de trabalho mais confortável? ;
Entrevistado;Eu tentei assim ao longo dos dos anos. Antes, sabe que eu era autista, eu senti uma dificuldade de me comunicar com as pessoas, mas eu não sabia exatamente o que era. Então eu fiz vários cursos de oratória, eu fiz curso de comunicação não violenta, fiz curso de facilitação de grupos, né? Então eu fiz vários treinamentos para aprender a me comunicar. Mas eu percebo que no remoto é mais desafiador fazer esse tipo de comunicação. Às vezes eu uso o próprio, eu faço um filtro tipo textual, eu passo pelo GPT, eu escrevo a minha mensagem passo pro GPT tornar essa mensagem mais agradável. E aí essa mensagem mais agradável, textualmente, é a que eu compartilho com as pessoas. Mas eu percebo que as adaptações do ambiente de trabalho, eu acredito que ter tempo para conseguir focar no trabalho e não receber comunicações. As vezes o que eu faço é, por exemplo, pelas manhãs, eu sei que tem uma quantidade maior de mensagens, de demandas, né? Então de manhã eu não me organizo para fazer atividades que existiam foco profundo. Eu me organizo para fazer atividades de planejamento, né e coisas mais mais operacionais, porque eu sei que você interrompido com maior frequência já durante a tarde. Aí eu já organizo minhas atividades de foco profundo para a tarde. Então se eu puder ter essa liberdade de conseguir organizar a minha agenda e bloquear ela por algumas horas do dia para não ser incomodado seria muito bom. Outra questão também é de é que eu percebo que é uma coisa que também tenho dificuldade no mundo corporativo, que é essa questão de passar a impressão de que você está trabalhando muito, porque a pessoa trabalha muitas horas. Então, muitas vezes o que eu demoraria, sei lá, é 2 ou 3 dias para fazer desfocado. Eu consigo fazer as vezes em uma tarde com foco absoluto. Então, a quantidade de horas trabalhadas, para mim, ela não é sinônimo de trabalho inteligente ou de esforço. Mas infelizmente, percebo que para as lideranças que não estão no dia a dia, que não conhecem assim, o trabalho, uma pessoa que trabalha fica até às 8h 9h da noite trabalhando parece ser mais comprometida do que uma pessoa que começa no horário e termina no horário. E porque se organiza pedir foco profundo, ela consegue produzir mais e menos tempo. Então, acredito que uma empresa que tivesse essa noção de que trabalhar mais não quer dizer mais produtividade, seria muito interessante também, né? Eu acredito que esses 2 pontos, assim, de te permitir ter tempo para trabalhar e de entender que produtividade não é sinônimo de horas trabalhadas. Para mim já seria uma grande revolução nesse preço de trabalho. Efetivamente, esse eram os 2 pontos que eu mais tinha dificuldade. A comunicação eu consigo gerenciar em texto, o GPT me ajuda muito e tendo mais oportunidades para trocar conversas por áudio, né, ou por vídeo. Desde que sejam aquelas conversas, assim, aquelas reuniões que poderiam ser um email;
Pesquisador;Abordando especificamente as tecnologias, eu queria que tu pudesses me contar quais as principais ferramentas que tu utilizavas ou ainda utilizas para fazer a comunicação interna ou com clientes?;
Entrevistado;Já passei por várias ferramentas, por exemplo, eu já utilizei o slack, o Discord, o próprio WhatsApp, também Telegram ou o Gather. Deixa eu ver as outras ferramentas...... Eu Acredito que, em geral, as empresas, assim utilizavam essas ferramentas, aí tinham as de videoconferência, mas eram coisas muito pontuais. Mas as de comunicação, assim, contínua eram essas mesmo;
Pesquisador;E como tu avalias a tua experiência na usabilidades dessas ferramentas, já se existiu algum tipo de dificuldade na utilização delas?;
Entrevistado;Em termos de usabilidade sempre foi tranquilo, mas o problema que eu vejo, todas elas, mas o pior é no Whatsapp, no Telegram e no Gather e no Slack é... Primeiro, as notificações, ser interrompido com notificação.... Eu, geralmente, eu sempre controlava as notificações dessas ferramentas. Eu silenciava grupos, eu colocava apenas para notificar menções quando chamava o nome ali. Eu mesmo tirava o som. Eu tirava o som. Ficava só com o contador de mensagens. Mas, por exemplo, o Telegram, ele tem alguns recursos melhores que o WhatsApp. Agora não que seja bom, é, não considero como bom para comunicação corporativa, por exemplo, definir de maneira mais clara os horários de notificações, quem são as pessoas que eu vou receber. E eu consigo organizar os grupos em pastas. O discord e o Telegram eu gosto porque eles conseguem dividir os assuntos, né? Cada cada grupinho é um assunto diferente, então fica mais fácil de saber, por exemplo, qual dos grupos merece mais minha atenção nesse momento ou ual posso olhar mais tarde. Consigo rapidamente saber qual é o tópico, né? Sem precisar ler a mensagem necessariamente diferente do WhatsApp, por exemplo, que não dá para saber. Um grupo para falar de várias assuntos é muito confuso pra mim. O gather eu não gosto, apesar das pessoas gostarem, porque ele estimula uma espécie de escritório virtual como se fosse o joguinho. Você é um bonequinho que fica andando pelo espaço e tem as mesinhas. Cada pessoa fica na sua mesinha e quando você chega perto da pessoa, no joguinho, automaticamente a câmera, o microfone e se abre. Então, na última pessoa que eu trabalhei, ela usava e eu odiava, porque às vezes eu estava concentrado, mas eu tinha que estar lá online, porque quando você está online, como se estivesse no escritório e às vezes as pessoas chegavam e falavam comigo de repente, e eu quebrava a minha concentração e tinha que dar atenção a aquela pessoa. Então eu achava muito invasivo, mas a empresa usava isso como a plataforma oficial de comunicação. Para mim os problemas são muito mais voltados para a comunicação para notificação, para a organização das informações na ferramenta, do que a usabilidade delas em si. ;
Pesquisador;E quais ferramentsa utilizas ou utilizavas para o gerenciamento de tarefas? E aí a partir daqui eu vou sempre voltar para a questão de usabilidade, mas se tu não identificar esse nenhum ponto de usabilidade, pode comentar outros aspectos, está bem?;
Entrevistado;A grande maioria das empresas que eu trabalhei utilizavam o Jira, a maneira como elas utilizavam o Jira é outra questão, mas utilizavam o Jira. E às vezes organizavam em sprints e teams e projetos, às vezes eram como se fosse o grande Trello, só que dentro do Jira. Já utilizei o Trello, já utilizei o Microsoft Project. Na verdade, antes do Project, né, eu usei Planner, Microsoft Planner. Já tive experiência com o Asana também..... Eu gosto do Jira, quando ele é bem organizado e bem utilizado, ele é bom. Mas o me incomoda do Jira é a questão das, dependendo de como for organizado fica, por exemplo, o Jira que tem vários projetos diferentes e os mails que recebo da ferramenta são muitos, eu não consigo me organizar nesses e mails, as notificações também são muitas, então eu eu preciso fazer um trabalho manual de fazer uma espécie de curadoria das informações para saber o que é que está acontecendo em cada projeto. Porque a maneira de como chega essas informações para mim parece um monte de informações desorganizadas então eu não gosto disso. O Trello é bom, mas eu considero limitado, né? Então é ele é muito fácil de mexer, mas quando eu fico, por exemplo, saber a qual das atividades está demorando mais tempo que o normal, doq ue o necessário, quando é pra olhar em uma perspectiva mais horizontal do tipo que atividades eu consigo priorizar primeiro, quais dependem da outra, eu não consigo visualizar naquele espaço de cards. Já no Jira eu consigo ver esse modelo mais claro, né? Mas assim, as outras ferramentas são meio que derivações dessas, né? Então eu gosto do Jira quando ele é bem organizado, mas eu gosto do Trello também. Mas eu prefiro o Jira dentre essas ferramentas. ;
Pesquisador;E aí a última pergunta desse bloco de tecnologias, quais são ferramentas que vocês utilizavam para o compartilhamento de arquivos? Nessecontexto de design, não sei se vocês utilizavam Miro ou Figma.... Nesse sentido também avaliando a tua experiência nessas ferramentas;
Entrevistado;Sim, eu já usei o Figma e o Google drive também, mas com mais frequência o Figma. Então o Figma, a organização dentro dele, né, de organizar por times, por projeto. Então usar imagens em miniaturas com o nome do projeto, qual é a versão. Tudo isso ajudava bastante a encontrar os arquivos e manter organizado ao longo do tempo, especialmente porque eu são muitos arquivos de projetos diferentes. O Figma tem uma boa estrutura de que permite organizar, né? O Miro, eu já trabalhei na experiência que era um Miro para para a empresa inteira, então era muito difícil porque as pessoas não usavam os recursos do Mirro para a organização de projetos, então era basicamente uma listagem enorme de vários quadros de vários times diferentes, tudo misturado. Então para encontrar alguma coisa... O que eu fazia era para era criava favoritos no meu navegador pra rapidamente encontrar os quadros que eram relevantes para o meu projeto. É, do Google Drive, as experiência que eu tive foram positivas, então as pessoas sabiam organizar em pasta, usavam cores, marcadores, então era muito fácil de encontrar as informações ali e usavam títulos nos arquivos, como alguns códigos. Então, sei lá, se o meu meu time fosse conteúdos digitais,  colocavam na CD, de conteúdo digitais. Então tudo que era relacionado ao meu time, bastava pesquisar pelo prefixo CD na busca e aparecer os resultados. Então esse sistema de codificar ajudava bastante a encontrar os arquivos relacionados ao grupo. Então, a minha experiência foi positiva, mas era muito mais voltado pra como as pessoas usavam os recursos de organização das ferramentas, né, pra encontrar esses arquivos do que a usabilidade inerente das ferramentas em si;
Pesquisador;Tu comentou sobre algumas funcionalidades que tu gostaria que tivesses nessas ferramentas para melhorar gerenciamento das tuas notificações, mas tem alguma outra funcionalidade que tu gostaria que tivesse pra apoiar tanto na tua organização quanto no teu foco? ;
Entrevistado;Sim, agora que a gente tem aí a ascensão da das LLMS, né? Como GPT e et cetera seria muito interessante se eu pudesse ter um resumo rápido assim, por exemplo, especialmente para discussões de grupos, porque às vezes, sei lá, se eu estiver 2,3 horas focado no silencioso, quando eu volto eu vejo um monte de mensagem e eu preciso ler pra poder entender do que que se trata esse assunto e se é relevante para mim. Se você pudesse ter algum recurso que fizesse o resumo dessas mensagens, com tópicos e dizer do assunto de quais são a as os pontos, né, que estão sendo falados ali, eu poderia rapidamente identificar se eu preciso investir tempo para ver as mensagens para detalhe ou se não preciso, se é um assunto que me diz respeito assim naquele momento ou que eu posso ver em outro momento, né? Então, ter algum tipo de resumo das notificações seria uma ajuda muito boa para mim;
Pesquisador;Abordando agora aspectos relacionados ao suporte, tu participa de algum grupo voltado para a inclusão de pessoas neurodivergentes? ;
Entrevistado;Eu assim, eu faço parte, mas não de maneira tão ativa como eu gostaria, até porque eu não nesse momento, eu não to consigo me engajar como eu gostaria, mas eu conheço a aTIP e o AutismoTech que é um hackthon, mas é o hackthon muito bem organizado, então existem trilhas de formações, tanto de formação técnica formação de soft skills para autistas. Então é um evento diferente, não é aquele hackthon de um fim de semana, a gente tem uma semana, às vezes 2 semanas, para conseguir se organizar e tal. Tem apoio psicológico, né, durante o processo. Então, assim é algo que eu admiro bastante. Mas fora isso, eu não tenho participação assim, eu não gosto de grupo de WhatsApp, nem de Instagram. Eu não gosto de participar desse tipo de de grupo, não;
Pesquisador;E por que tu não gostas? ;
Entrevistado;Porque primeiro, são muitas mensagens. Eu não consigo acompanhar esses grupos. Ai às vezes, por exemplo, eu tenho uma lista de transmissão de memes no meu WhatsApp e olho uma vez por dia assim à noite, né? E aí tem lá quase 100 mensagens. Então, eu tentei participar de alguns grupos de autistas, mas eu não não consegui acompanhar. O WhatsApp para mim é muito difícil em termos de grupo, porque não tem uma divisão de tópicos, por exemplo, as pessoas falam de várias coisas diferentes, mas eu só consigo saber do que é se eu for ver mensagem por mensagem. E isso é muito cansativo para mim. Às vezes eu pego um assunto que eu acho interessante, mas a conversa, assim, foi horas atrás, e não faz sentido eu querer retormar esse assunto de novo. Então às vezes eu nem interajo porque passa-se a oportunidade da conversa. Então o que eu faço mais esses grupos, é meio que vê se tem algum link interessante. Às vezes as pessoas compartilham algum vídeo no YouTube, algum PDF. Eu fico olhando mais esses compartilhamentos de conteúdo do que de fato as mensagens. ;
Pesquisador;E nesses empresas anteriores tu tinhas algum apoio ou canal voltado para a inclusão de pessoas neurodivergentes?;
Entrevistado;Não tinha, não tinha. Especialmente, assim, no início da pandemia foi quando começou se a falar com mais frequência sobre saúde mental, mas ainda era uma questão mais voltada para qualidade de vida no trabalho, na questão de estresse, de burnout, né, porque burnout começou a ficar também conhecid por ser ser uma doença, né, ocupacional. Então era mais sobre esses assuntos. Mas eu não vi essa questão de neurodiversidade, o que eu venh percebendo agora, acompanhando especialmente no LinkedIn, né. e nas vagas que surgem são, primeiro, o surgimento de vagas para PCD e tem nos tipos de deficiência o autismo listado, mas não são todas as vagas. Porque, por exemplo, teve uma que eu me escrevi semana passada que tinha as deficiências do motoras, auditiva... Mas não tinha o autismo, então não sabia o que colocar, porque o autismo não é uma deficiência intelectual. E aí eu não sabia exatamente como é que eu faria, né?! Mas mas eu vejo que sim, que nos últimos anos mais recente, eu tô notando uma maior presença desse assunto da neurodiversidade. Mas nessa que eu passei, não tinha;
Pesquisador;Quais tipos de características tu enxergas como positivas diante do teu diagnóstico, que contribuem para a tua atuação? ;
Entrevistado;Bom, eu acredito que, no meu caso, o hiperfoco se faz assim como uma vantagem, apesar de que é uma vantagem que precisa ser gerenciada, às vezes ele mais atrapala do que ajuda. Mas no meu caso, eu consigo usar o hiperfoco ao meu favor. Acredito que pelo diagnóstico tardio, eu precisei dedicar muito, muito tempo assim e tentar entender as relações sociais e o comportamento das pessoas. Então eu tinha uma boa capacidade de mascaramento, então eu conseguia lidar com diferentes personalidades, com diferentes grupos de pessoas pelo menos funcionalmente, né? Em termos de de de performance corporativa. Então eu, por exemplo, por conta dessa habilidade, eu já fiz viagens a trabalho, né? Já liderei, já participei de workshops, já participei de negociação de fechamento de acordos. Então isso me proporcionou algumas oportunidades que se eu não tivesse. Estudado sobre essas questões, né? Sociais? Eu talvez eu não conseguiria ter me envolvido. Então acho que, na minha profissão, na minha atuação, como na design de experiência do usuário, acredito que consegui ter essa visão mais analítica das questões subjetivas, me ajuda a conseguir, por exemplo, absorver melhor algumas teorias de comportamento e conseguir pensar em intervenções. Por exemplo. uma área que eu venho investindo também é sobre design comportamental. Então usar as teorias behavioristas e tal, pra pensar em produtos digitais, omo é que a gente consegue mudar alguns comportamentos, influenciar a mudança de comportamento.. Então isso me ajuda também por ter essa visão mais analítica, né? Então, eu acho que esses são alguns pontos assim que podem ser vistos como vantagens em alguns contextos, né? ;
Pesquisador;E que características tu avalias como negativas que podem te atrapalhar na tua atuação?;
Entrevistado;A dificuldade que eu tenho para fazer é a leitura das políticas corporativas, das relações corporativas. Nessa questão de entender que, para que eu possa transmitir uma mensagem, uma percepção, por exemplo, de que o meu trabalho, ele é tão válido quanto o trabalho de uma pessoa que fica 9h da noite, eu preciso me engajar em comportamentos sociais que são estranhos para mim, né? São esquisitos para mim. Então, entender um pouco desse manejo político dentro da corporação é um desafio grande para mim. E também a questão da inflexibilidade cognitiva, né? Assim, eu tenho dificuldade quando há mudanças muito bruscas de direcionamento. Eu preciso de um tempo para conseguir me situar. E como as startups,as empresas, elas têm essa perspectiva de que as coisas mudam muito rápido, eu gasto muito mais energia, fico muito mais exausto e me adaptar a essas mudanças do que meus pares neurotípicos. Eu percebo também essas dificuldades;
