Pessoa;Fala ;Marco temporal
Pesquisador;E isso se estende também para as pessoas do teu trabalho? ;
Entrevistado;Uhum, uhum ;
Pesquisador;Então agora eu queria saber qual é o tipo de modelo adotado na empresa em que tu estás atuando? ;
Entrevistado;Full remoto, graças a Deus. ;
Pesquisador;E já puxando uma outra pergunta para complementar essa, eu queria entender por qual desses modelos que se identifica mais e o motivo pelo qual tu se sente mais à vontade? ;
Entrevistado;No remoto?;
Pesquisador;Isso;
Entrevistado;"É eu gosto mais do remoto mesmo. Assim, vou te falar que teve um período de adaptação, tá? Antes da pandemia, o trabalho remoto para mim era muito assim ""ah, eu preciso ir ao médico e ou então estou doente e vou ficar em casa, mas vou ficar aqui no computador trabalhando, porque dá, eventualmente"". Não existia isso assim a gente, né, trabalhar full remoto de casa e tal e aí veio a pandemia e eu tive que trabalhar full remoto e aí isso me gerou algumas dificuldades no sentido de como eu sou gerente de produto, a gente precisa muito estar ali, conversando, escrevendo, desenhando, tentando colocar as nossas ideias num papel, digamos assim. O que antes o trabalho presencial facilitava era que tinha essa linha de reunião com quadros e tal e aí eu tive muita dificuldade no início em me fazer ser entendida, me fazer ser compreendida sem esse artifício. E aí, beleza, 3 anos depois, enfim, depois da pandemia? É, eu não me enxergo mais trabalhando de forma presencial. Por conta da das questões de,  o ambiente é muito barulhento e já aconteceu de eu precisar ir no presencial algumas vezes assim, tipo reuniões e tal, um ambiente muito barulhento, as interações sociais, aquilo de ai, nossa.... Então eu prefiro remoto por isso. ";
Pesquisador;Entendi...;
Entrevistado;E também porque não dá para disfarçar quando eu estou entediada assim com alguma agenda, sabe? É tipo muito mais fácil fechar a câmera, joga um candy crush e tal. Antes, não. E uma coisa que eu sempre recebia feedback, negativo era do quão não engajada eu estava em algumas reuniões, sabe, em algumas agendas. E por que que não recebo esse feedback nas remotas, porque mesmo com a câmera off e mesmo estando no candy crush, mas eu estou prestando atenção e se eu tenho alguma intervenção para fazer, eu vou lá e falo, então eu não preciso de fato está olhando, o que no presencial era exigido porque é uma falta de educação você está ali, né, em uma agenda presencial e está jogando candy crush? ;
Pesquisador;Demanda mais esforço?;
Entrevistado;"Exatamente.. Olha, é muito daquilo de fazer a leitura do ambiente e ficar com aquilo ali, com os pensamentos inclusivos, sabe? ""Aí você ser demitida..... Então teve uma situação que foi bem assim, eu já estava fazendo terapia, então eu trabalhava numa empresa, que era o puro suco da insalubridade. Eu cheguei em um esgotamento mental muito alto e aí eu saí dessa empresa, eu pedi demissão para poder ir para uma outra oportunidade, ganhando menos e com menos benefícios. Porque eu não aguentava mais onde eu estava, eu só queria sair. E o motivo disso, de querer sair, eram as lideranças que não enxergavam uma forma de te evoluir e sempre pegava um pontinho teu, assim, que tu fez de errado e jogava isso, sempre, em todas as avaliações e tal. Então eu não achava que era justo e isso me inflava muito. E aí fui para essa outra oportunidade e ganhando menos, mas muito com aquilo na cabeça de que é isso aqui é temporário, eu vou usar esssa oportunidade para procurar outro emprego, né? E aí assim fiz. Fui trabalhar numa startup de uma outra cidade, que na época da pandemia estava bem em voga. Eles atuavam no ramo de cibersegurança e eles descobriram ali os vazamentos de dado que rolou naquela época. Então era uma empresa que estava bem na mídia, o CEO dela era um cara assim, super direto e autoritário e enfim....  Corta para mim nessa liderança, nessa empresa que eu fui trabalhar aí. Ela era uma mulher e eu não sei se o que ela reproduzia comigo era porque ela tinha que viver e ela vivia isso por conta do CEO, que era o líder dela, né? E aí... Hoje eu vou falar que pode ter sido coisa da minha cabeça, está pensamento intrusivo, mas na época eu sentia que ela só enxergava os pontos negativos meus, sabe? Ela só trazia o que era de ruim. Então, assim, ela queria que eu fizesse do jeito dela. Eu sou uma pessoa muito brincalhona e tal, então uma vez aconteceu de eu entrar um pouquinho mais cedo numa reunião de Daily com o time e aí eu comecei a conversar com a galera, puxar assunto, sabe? Tipo, perguntar como estava e a gente ficou rindo e tal. Quando ela entrou, estava aquele ambiente assim, conversinha de corredor, e aí depois ela veio, me deu um feedback de ¨ah, você tem que ter mais postura com o time. Eles precisam ter confiança em você."" Aí isso já me fechou para ela. Aí teve um belo dia que estava fazendo uma apresentação de resultado mensal, né? E aí eu trouxe um racional diferente do que ela costumava apresentar, mas era os mesmos conceitos, mesmos dados e tal. Aí ela ""ah, eu acho que você floreia muito para falar da informação, você tem que falar assim, você tem que fazer assim"". E aí a última que ela fez, assim que vamos contar que foram muitas, mas esses foram os principais que me fizeram ativar o gatilho da perseguição, do pensamento intrusivo. E aí foi que eu estava fazendo uma apresentação do roadmap e tal, mostrando que a gente ia trabalhar, estava com a tela compartilhada e aí a gente usava o Slack e aí ela foi me mandou uma mensagem assim ¨Eu acho que você poderia ter falado desse jeito"". E aí estava com a tela compartilhada e subiu a telinha do Slack e todo mundo viu...  Eu já não aguentava mais passar por isso e eu me sentia sufocada e todo dia eu iniciava o trabalho achando que sei lá, ia ser demitida, entendeu? Nisso daí eu procurei uma outra oportunidade, me candidatei em uma vaga ali que eu sabia que tipo, eu tinha todas as qualificações necessárias e que a vaga ia ser minha, mas downgrade de posição. Aí pedi demissão na semana seguinte, porque eu eu tive o approve dessa vaga no mesmo dia da entrevista, então na semana seguinte, quando eu recebi a carta, eu pedi demissão. Nisso, foi em um período de tempo que a minha terapia estava sendo quinzenal e foi quando não tive a sessão. E aí quando eu voltei com a psicóloga, eu contei. Ela falou assim ""Não.... a gente poderia ter trabalhado, vamos aos fatos, como que era a relação com o seu time, como que era a relação com os seus stakeholders"". E aí eu fiquei, *****, verdade, né? E aí eu fui conversar com as pessoas com quem eu tinha contato na empresa avisando que eu ia sair e tal, todo mundo ""nossa, mas olha, depois que você entrou, isso assim mudou, isso aqui melhorou, e agora?"" E aí eu comecei a ver que estava sendo bem para caramba e que apenas a liderança era quem... Entende? E por conta dessa visão, eu fui criando esses pensamentos e acabei tendo uma atitude impulsiva de pedir demissão logo e sair, sabe? Então, esse foi um dos exemplos mais.... E aí corta para outro que tiveram que eu não me senti creditada, e aí pelo fato também de eu antes não uma inteligência emocional para me fazer ser ouvida sem precisar falar mais alto, sem ter uma comunicação agressiva, isso acabou me prejudicando muito ";
Pesquisador;E tu acreditas que isso pode ter a ver com o fato de ser mulher no contexto de software?;
Entrevistado;Uhum, uhum;
Pesquisador;Agora já tenho um panorama das tuas experiências, mas agora no ambiente de trabalho em que estás atualmente, como estás se sentindo?  Sente que poderia ser feito alguma mudança para que tu se sinta mais confortável? ;
Entrevistado;"Não, não sinto. Assim, tem muita coisa que.... Só que isso não conversa com TPOC, conversa com..... Eu não tenho diagnóstico do TDAH. Mas vamos dizer que eu tenho alguns traços, né? Mas para você ser diagnosticado tem que ter todos. Então, 1 traço que eu tenho que me incomoda muito é quando eu olho aqui, sei lá o material, alguma coisa. Eu não consigo identificar o padrão. Sabe quando as pessoas acabam enchendo coisas aqui nos documentos e colocam muita informação. E aí querem que a gente traga também as nossas inferências dentro desse documento, mas não explicam tipo, na cabeça delas faz sentido, na minha, não. E eu fico, ok, eu vou alterar o que aqui? Pra que que eu tenho que fazer isso e tal? Ou então várias agendas de alinhamento prévio para uma agenda específica. Eu fico, gente, para quê? Isso é redundante e tal. E aí eu já falei, né? No sentido de a gente consegue fazer isso aqui de forma asíncrona. Muitas vezes eu faltei essas reuniões, algumas eu declinei. E aí, no privado, minha chefe sempre vem ""oi, você vai conseguir participar?"", ""Oi, não esqueça que tem essa agenda"" Então eu me sinto, sei lá, certo, pressionada, sabe? E aí que é um pulo pro pensamento intrusivo vir, tipo, ah, eu vou ser demitida. Mas hoje eu estou bem mais tranquila, sabe, em relação a isso porque eu sei que tipo, ah, isso é um pensamento intrusivo, sai pra lá.";
Pesquisador;Então com a terapia já estás conseguindo identificar?;
Entrevistado;Isso, total, total...  E também se eu for mesmo demitida, paciência. Quem está perdendo é eles, sabe? Vão ter que lutar pra achar outra igual a mim e é isso ;
Pesquisador; E sobre tecnologias, quais tipos de ferramentas vocês utilizam aí para comunicação entre o time ou entre cliente?;
Entrevistado;Slack;
Pesquisador;Só o Slack?;
Entrevistado;Uhum;
Pesquisador;E quais ferramentas utilizam para fazer o gerencimento de tarefas?;
Entrevistado;O Jira;
Pesquisador;E para compartilhamento de arquivos ou documentos?;
Entrevistado;O Google Docs, o GSuite aqui da Google;
Pesquisador;Tem mais alguma outra que achas que seria interesse mencionar aqui?;
Entrevistado;Databricks e Tableau;
Pesquisador;Dentre essas ferramentas, sentes que tem algum tipo de dificuldade na utilização delas? ;
Entrevistado;"Olha, eu não sabia mexer no Databricks, aprendi. Não sabia mexer no Tableau, aprendi. O Google Docs ali é o padrão do Word que a gente já nasce sabendo praticamente. O Slack... O que me incomodava eu consegui, tipo mitigar, que era aquele barulhinho de mensagem. No meu Slack, eu tenho as threads ali e tal, as conversas. Ele tem uma funcionalidade que dá para criar seções. E aí eu tenho, para cada tema que eu estou trabalhando, eu criei uma seção e coloco as threads específicas lá. Então é uma forma que eu tenho de me organizar. Porque antes eu ficava assim ""Ai Deus, qual foi a thread que eu falei isso?"".  E ai eu tinha que olhar thread por thread, sabe? Pra poder ver. Agora não, eu consigo reduzir a área de procura, digamos.";
Pesquisador;Então,  basicamente, nessas ferramentas as dificuldades foram mais nos aprendizados iniciais, né? ;
Entrevistado;Uhum;
Pesquisador;A empresa internamente ofererece algum tipo de curso?;
Entrevistado;Eles têm uma página aqui, e aí tem, várias gravações, enfim, cursos sobre tal. Só que eu só fiz os cursos obrigatórios que a gente tem que fazer de compliance, tá? Essas coisas, o databricks e o tableau eu aprendi mesmo na marra, né, digamos assim, usando YouTube. Muito melhor do que fazer esse curso, porque eu não entendo a lógica dessa plataforma, então, é se a gente fosse falar tipo 1 sitemap é tudo bagunçado. A hierarquia das páginas... Aí eu não consigo entender, não consigo nem achar uma trilha lá dentro, então eu simplesmente nem invisto tempo para aprender a usar, para poder aprender através dos cursos que tem lá. Me recuso, prefiro ir pro Youtube mesmo.;
Pesquisador;Agora queria saber especificamente sobre os grupos de apoios voltados para apoiar pessoas neurodivergentes, tu participa ou participa de algum? Seja em uma comunica ou nas redes sociais;
Entrevistado;"Eu uso muito o Reddit, estou em alguns subregisters lá relacionados.... Aqui no slack tem um canal, é engraçado o nome porque mistura com TDAH. E aí todo mundo que tem alguma coisinha entra, sabe? Não necessariamente só TDAH. E ai a galera fica compartilhando coisas assim quem não tem, acha estranho, não compreende e, enfim. E a gente meio que acaba muito levando na brincadeira, sabe? Um exemplo do que aconteceu aqui outro dia foi que é aniversário da minha chefe. Era na sexta.  E aí eu me juntei com o time e tal para mandar um presente. A gente organizou, mas eu mandei da quinta porque eu achava que era na quinta. E simplesmente por uma falta de desatenção, uma falta de atenção, eu mandei. Ai ela recebendo e eu dando o parabéns pra ela e ela ""mas é amanhã""..... Assim, coisas nesse sentido acontecem sempre comigo, sempre. Até de ir em consultas assim que não é o dia e eu acabo indo, sabe? ";
Pesquisador;Na empresa eles tem algo para além desse canal?;
Entrevistado;Só esse canalzinho. Mas assim eles têm o benefício de psicologia, né? Ai a galera pode fazer terapia custeado pela empresa;
Pesquisador;Quais características tu me enxergas como pontos fortes que advêm justamente do teu diagnóstico e que faz diferença dentro da tua atuação? ;
Entrevistado;"O fato do teu pensamento intrusivo, ele conversa muito com cenário de ""e se isso acontencer?"". Então isso super me ajuda no trabalho porque a gente está fazendo qualquer coisa que vai mudar a experiência que vai mudar... Vem como se fosse um superpoder, sabe, o pensamento intrusivo ""tá, mas esse cenário aqui?"" ""e se o cara fizer isso assim, o que que acontece?"". Ou então tá um problema em produção, ninguém sabe o porquê que aquilo está acontecendo e é como se eu conseguisse enxergar ali por trás. E aí eu, opa, já sei o que é e acaba que é isso mesmo. Eu tenho a hipótese, vou lá testo e é sabe? Dá vontade assim de gritar os 4 cantos eu sou ****. E aí um ponto forte é isso, é o pensamento intrusivo que eu gosto de chamar, de identificar padrão, então eu tenho uma facilidade muito forte em identificar padrão. ";
Pesquisador;E em constraste a isso eu queria saber se tu enxergas também outros aspectos negativos que te atrapalham na tua atuação?;
Entrevistado;Ai, muitos. Inclusive, tipo, eu estou indo... Eu estou fazendo os testes neuropsicológicos e tal. Para saber ali se, enfim, tenho uma acurácia no diagnóstico lá do TDAH ou que quer que seja, que eu tenho na cabeça porque o que acontece. A gente está trabalhando em cima de um problema e eu sei exatamente tipo, eu já pensei.... Eu li outro dia que, assim,  a velocidade dos meus pensamentos é 200 por hora, mas a velocidade da minha fala é a 10 por hora, sabe? Não acompanha. E aí quando eu vou falar, eu pareço. Sabe aquelas pessoas que falam falan e não dizem nada? Mas na minha cabeça faz sentido, só que eu não consigo traduzir em palavras. Então, muitas vezes eu sinto que as pessoas não me dão a devida credibilidade por conta disso, sabe? Então o que eu tenho feito, né? Já trabalhando na terapia tal, muitas vezes é parar para poder escrever o meu racional e ter bem certinho para eu falar o que eu escrevi. Porque se eu for só falar o que eu pensei, parece, sei lá, conversa de doido, sabe? E aí isso me me prejudica muito, a velocidade com que vem as ideias, as informações, as coisas assim na minha cabeça. E aí, tipo assim, aqui mesmo, enquanto a gente está conversando, eu já estou vendo ali coisas que eu tenho que estar respondendo e tal. Só que, é algo que eu faço muito aqui no trabalho, tipo, ah, eu estou aqui em uma agenda e se é algo que eu não preciso pensar, eu estou lá respondendo. Só que isso aqui que eu estou vendo agora, eu preciso pensar. Então aqui, eu já estou agoniada, porque eu não quero perder o timing, entendeu? Só que eu preciso sentar, estruturar um racional para não falar ***** lá. Então o fato de ter que parar e fazer isso gasta uma energia de mim.... Nossa, eu fico esgotada, mas é isso;
Pesquisador;Tu sempre estás além do teu tempo então?;
Entrevistado;Aham. Se a gente fosse fazer uma analogia, eu já estaria no passado, porque eu já vivi o futuro, entendeu? Ele nem chegou, é isso, de tão acelerado que é, eu já vivi.  Então enquanto a galera está vivendo o presente do futuro que tá ali na frente, eu já passei aquilo tudo, entende?;
Pesquisador;Bom, então agora efetivamente terminamos a nossa entrevista. Eu qeria te agradecer pelo teu tempo e dedicação nesses mais de 30 minutos. A tua contribuição foi muito importante para o nosso estudo. Qualquer dúvida pode me mandar um email. Vou parar a gravação. ;
;;
;;
;;
;;
;;
;;
